Country,cluster No.,ID
ES,1,01ES
ES,2,02ES
ES,3,03ES
ES,4,04ES
ES,5,05ES
ES,6,06ES
ES,7,07ES
ES,8,08ES
ES,9,09ES
ES,10,10ES
ES,11,11ES
PT,12,12PT
PT,13,13PT
FR,14,14FR
FR,15,15FR
FR,16,16FR
FR,17,17FR
FR,18,18FR
FR,19,19FR
FR,20,20FR
FR,21,21FR
FR,22,22FR
FR,23,23FR
FR,24,24FR
FR,25,25FR
FR,26,26FR
FR,27,27FR
BE,28,28BE
LU,29,29LU
NL,30,30NL
DE,31,31DE
DE,32,32DE
DE,33,33DE
DE,34,34DE
DE,35,35DE
DE,36,36DE
DE,37,37DE
DK,38,38DK
CZ,39,39CZ
CZ,40,40CZ
PL,41,41PL
PL,42,42PL
PL,43,43PL
PL,44,44PL
PL,45,45PL
SK,46,46SK
CH,47,47CH
CH,48,48CH
AT,49,49AT
AT,50,50AT
AT,51,51AT
IT,52,52IT
IT,53,53IT
IT,54,54IT
IT,55,55IT
IT,56,56IT
SI,57,57SI
HU,58,58HU
RO,59,59RO
RO,60,60RO
RO,61,61RO
HR,62,62HR
BA,63,63BA
ME,64,64ME
RS,65,65RS
BG,66,66BG
MK,67,67MK
GR,68,68GR
GR,69,69GR
AL,70,70AL
DK,72,72DK
EE,73,73EE
FI,74,74FI
FI,75,75FI
LT,77,77LT
LV,78,78LV
NO,79,79NO
NO,80,80NO
NO,81,81NO
NO,82,82NO
NO,83,83NO
NO,84,84NO
NO,85,85NO
SE,86,86SE
SE,87,87SE
SE,88,88SE
SE,89,89SE
UK,90,90UK
UK,91,91UK
UK,92,92UK
UK,93,93UK
UK,94,94UK
UK,95,95UK
IE,96,96IE
IT,98,98IT
FR,99,99FR
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
