Year,ES,PT,FR,BE,LU,NL,DE,DK,CZ,PL,SK,CH,AT,IT,SI,HU,RO,HR,BA,ME,RS,BG,MK,GR,AL,EE,FI,LT,LV,NO,SE,UK,IE
1901,13.69,15.11,10.89,9.73,9.18,9.62,8.38,7.48,7.89,8.12,8.42,6.76,7.5,14.16,9.28,9.71,10.04,11.59,11.36,11.79,10.59,12.05,11.3,16.12,13.17,4.56,-0.11,6.26,5.44,0.9,1.57,8.96,9.79
1902,13.59,15.07,10.85,9.75,9.18,9.64,8.32,7.46,7.77,8.07,8.26,6.59,7.3,14.01,8.99,9.47,9.87,11.35,11.13,11.6,10.34,11.87,11.04,15.93,13.01,4.51,-0.08,6.3,5.44,0.95,1.63,8.99,9.81
1903,13.27,14.84,10.52,9.42,8.84,9.33,8.03,7.17,7.52,7.76,7.98,6.3,7.04,13.75,8.76,9.23,9.6,11.09,10.82,11.23,10.03,11.66,10.78,15.73,12.69,4.06,-0.58,5.81,4.96,0.61,1.25,8.64,9.52
1904,13.43,14.97,10.59,9.44,8.86,9.31,8.03,7.14,7.65,7.89,8.28,6.4,7.24,13.89,8.99,9.53,9.89,11.33,11.12,11.57,10.39,11.93,11.13,15.91,12.97,4.05,-0.82,5.87,4.97,0.55,1.15,8.63,9.54
1905,13.49,14.9,10.68,9.48,8.93,9.37,8.1,7.12,7.67,7.83,8.32,6.59,7.37,14.13,9.22,9.68,10.02,11.64,11.45,11.87,10.68,12.14,11.43,16.2,13.25,3.93,-0.86,5.83,4.92,0.42,1.03,8.67,9.51
1906,13.74,15.22,10.91,9.76,9.21,9.58,8.29,7.25,7.86,8.01,8.39,6.64,7.4,14.06,9.14,9.65,9.93,11.47,11.25,11.62,10.49,12.02,11.16,16,13.02,4.1,-0.64,6,5.05,0.45,1.11,8.78,9.62
1907,13.66,15.11,10.83,9.64,9.1,9.43,8.12,7.16,7.58,7.72,8.11,6.59,7.26,14.03,9.03,9.44,9.67,11.42,11.2,11.63,10.37,11.83,11.09,15.91,13.03,3.93,-0.7,5.69,4.81,0.44,1.08,8.73,9.51
1908,13.69,15.14,10.7,9.38,8.82,9.21,7.88,6.92,7.4,7.54,8,6.46,7.1,13.98,8.87,9.31,9.73,11.3,11.11,11.6,10.33,11.92,11.18,15.98,13.01,3.9,-0.79,5.58,4.75,0.43,1,8.68,9.62
1909,13.74,15.22,10.91,9.79,9.21,9.63,8.28,7.41,7.8,7.99,8.35,6.68,7.37,14.03,9.07,9.61,9.91,11.43,11.24,11.66,10.47,11.91,11.09,15.88,13,4.08,-0.65,5.95,5.03,0.7,1.37,8.92,9.72
1910,13.45,14.87,10.75,9.68,9.1,9.56,8.29,7.36,7.82,8.1,8.37,6.57,7.33,13.91,9.01,9.56,9.92,11.35,11.16,11.57,10.39,11.98,11.09,16,12.95,3.99,-0.96,6.04,5.07,0.46,1.08,8.84,9.69
1911,13.79,15.18,10.8,9.58,9.03,9.44,8.15,7.25,7.74,8.04,8.34,6.59,7.32,14.07,9.07,9.58,9.9,11.43,11.23,11.64,10.43,11.99,11.19,16.06,13.07,4.22,-0.77,6.1,5.21,0.37,1.1,8.76,9.6
1912,13.67,15.12,10.72,9.61,9.04,9.48,8.09,7.28,7.46,7.71,7.9,6.45,7.06,13.83,8.79,9.18,9.46,11.16,10.87,11.25,10,11.49,10.69,15.58,12.61,4.33,-0.26,5.9,5.13,0.65,1.41,8.82,9.74
1913,13.52,14.97,10.68,9.57,8.98,9.44,8.05,7.14,7.53,7.57,7.97,6.43,7.12,13.85,8.85,9.22,9.51,11.23,11.02,11.48,10.17,11.67,11,15.81,12.89,3.63,-1.12,5.47,4.57,0.26,0.89,8.82,9.66
1914,13.57,15.09,10.77,9.62,9.03,9.51,8.11,7.25,7.59,7.84,8.14,6.45,7.15,13.91,8.9,9.36,9.66,11.26,11.01,11.41,10.2,11.74,10.88,15.75,12.78,3.99,-0.72,5.9,5,0.5,1.14,8.82,9.7
